time,open,close,high,low
2020-01-01 22:00:00,1.12160,1.12157,1.12185,1.12124
2020-01-01 23:00:00,1.12158,1.12191,1.12228,1.12156
2020-01-02 00:00:00,1.12192,1.12185,1.12193,1.12159
2020-01-02 01:00:00,1.12184,1.12213,1.12247,1.12182
2020-01-02 02:00:00,1.12212,1.12226,1.12247,1.12186
2020-01-02 03:00:00,1.12226,1.12136,1.12233,1.12125
2020-01-02 04:00:00,1.12137,1.12014,1.12145,1.12010
2020-01-02 05:00:00,1.12014,1.12046,1.12046,1.12011
2020-01-02 06:00:00,1.12046,1.12078,1.12078,1.12039
2020-01-02 07:00:00,1.12080,1.12100,1.12104,1.12044
2020-01-02 08:00:00,1.12100,1.12122,1.12138,1.12053
2020-01-02 09:00:00,1.12120,1.12032,1.12142,1.12013
2020-01-02 10:00:00,1.12033,1.11985,1.12040,1.11929
2020-01-02 11:00:00,1.11986,1.11849,1.12024,1.11843
2020-01-02 12:00:00,1.11849,1.11933,1.11945,1.11832
2020-01-02 13:00:00,1.11932,1.11964,1.11972,1.11899
2020-01-02 14:00:00,1.11966,1.11742,1.11966,1.11702
2020-01-02 15:00:00,1.11740,1.12007,1.12026,1.11710
2020-01-02 16:00:00,1.12007,1.11664,1.12032,1.11654
2020-01-02 17:00:00,1.11665,1.11700,1.11720,1.11638
2020-01-02 18:00:00,1.11701,1.11703,1.11725,1.11638
2020-01-02 19:00:00,1.11704,1.11664,1.11705,1.11645
2020-01-02 20:00:00,1.11663,1.11694,1.11718,1.11661
2020-01-02 21:00:00,1.11694,1.11729,1.11736,1.11693
2020-01-02 22:00:00,1.11728,1.11723,1.11741,1.11705
2020-01-02 23:00:00,1.11722,1.11711,1.11737,1.11704
2020-01-03 00:00:00,1.11711,1.11758,1.11763,1.11700
2020-01-03 01:00:00,1.11756,1.11738,1.11788,1.11725
2020-01-03 02:00:00,1.11737,1.11728,1.11777,1.11720
2020-01-03 03:00:00,1.11727,1.11723,1.11739,1.11697
2020-01-03 04:00:00,1.11724,1.11703,1.11751,1.11688
2020-01-03 05:00:00,1.11702,1.11665,1.11707,1.11645
2020-01-03 06:00:00,1.11666,1.11694,1.11698,1.11643
2020-01-03 07:00:00,1.11693,1.11534,1.11718,1.11524
2020-01-03 08:00:00,1.11535,1.11513,1.11606,1.11507
2020-01-03 09:00:00,1.11514,1.11403,1.11524,1.11402
2020-01-03 10:00:00,1.11403,1.11363,1.11436,1.11308
2020-01-03 11:00:00,1.11363,1.11302,1.11363,1.11251
2020-01-03 12:00:00,1.11301,1.11394,1.11428,1.11284
2020-01-03 13:00:00,1.11394,1.11382,1.11490,1.11374
2020-01-03 14:00:00,1.11382,1.11531,1.11543,1.11355
2020-01-03 15:00:00,1.11531,1.11635,1.11678,1.11531
2020-01-03 16:00:00,1.11636,1.11722,1.11800,1.11627
2020-01-03 17:00:00,1.11722,1.11724,1.11743,1.11681
2020-01-03 18:00:00,1.11723,1.11674,1.11735,1.11663
2020-01-03 19:00:00,1.11673,1.11677,1.11684,1.11614
2020-01-03 20:00:00,1.11676,1.11617,1.11677,1.11602
2020-01-03 21:00:00,1.11616,1.11626,1.11626,1.11528
2020-01-05 22:00:00,1.11687,1.11601,1.11703,1.11596
2020-01-05 23:00:00,1.11600,1.11608,1.11680,1.11596
2020-01-06 00:00:00,1.11605,1.11638,1.11687,1.11603
2020-01-06 01:00:00,1.11637,1.11630,1.11657,1.11614
2020-01-06 02:00:00,1.11631,1.11657,1.11673,1.11627
2020-01-06 03:00:00,1.11658,1.11660,1.11712,1.11656
2020-01-06 04:00:00,1.11660,1.11645,1.11665,1.11618
2020-01-06 05:00:00,1.11645,1.11626,1.11653,1.11607
2020-01-06 06:00:00,1.11626,1.11610,1.11627,1.11574
2020-01-06 07:00:00,1.11608,1.11648,1.11668,1.11599
2020-01-06 08:00:00,1.11648,1.11789,1.11800,1.11634
2020-01-06 09:00:00,1.11789,1.11935,1.11938,1.11754
2020-01-06 10:00:00,1.11935,1.11965,1.11998,1.11901
2020-01-06 11:00:00,1.11964,1.12035,1.12058,1.11963
2020-01-06 12:00:00,1.12034,1.11983,1.12045,1.11953
2020-01-06 13:00:00,1.11983,1.11979,1.12034,1.11913
2020-01-06 14:00:00,1.11978,1.11834,1.12004,1.11827
2020-01-06 15:00:00,1.11834,1.11888,1.11903,1.11824
2020-01-06 16:00:00,1.11888,1.11875,1.11898,1.11811
2020-01-06 17:00:00,1.11874,1.11953,1.11962,1.11844
2020-01-06 18:00:00,1.11953,1.11920,1.11981,1.11919
2020-01-06 19:00:00,1.11920,1.11914,1.11931,1.11881
2020-01-06 20:00:00,1.11915,1.11939,1.11940,1.11891
2020-01-06 21:00:00,1.11937,1.11977,1.11994,1.11931
2020-01-06 22:00:00,1.11980,1.11962,1.11980,1.11943
2020-01-06 23:00:00,1.11963,1.11956,1.11979,1.11943
2020-01-07 00:00:00,1.11956,1.11901,1.11957,1.11894
2020-01-07 01:00:00,1.11900,1.11936,1.11972,1.11897
2020-01-07 02:00:00,1.11935,1.11917,1.11936,1.11912
2020-01-07 03:00:00,1.11917,1.11924,1.11946,1.11915
2020-01-07 04:00:00,1.11924,1.11912,1.11937,1.11907
2020-01-07 05:00:00,1.11913,1.11832,1.11927,1.11830
2020-01-07 06:00:00,1.11831,1.11819,1.11899,1.11812
2020-01-07 07:00:00,1.11819,1.11742,1.11856,1.11731
2020-01-07 08:00:00,1.11744,1.11849,1.11877,1.11727
2020-01-07 09:00:00,1.11848,1.11849,1.11898,1.11807
2020-01-07 10:00:00,1.11849,1.11764,1.11864,1.11651
2020-01-07 11:00:00,1.11765,1.11819,1.11852,1.11723
2020-01-07 12:00:00,1.11819,1.11750,1.11835,1.11710
2020-01-07 13:00:00,1.11749,1.11562,1.11779,1.11549
2020-01-07 14:00:00,1.11562,1.11486,1.11624,1.11467
2020-01-07 15:00:00,1.11480,1.11419,1.11519,1.11344
2020-01-07 16:00:00,1.11418,1.11371,1.11441,1.11337
2020-01-07 17:00:00,1.11372,1.11426,1.11474,1.11369
2020-01-07 18:00:00,1.11426,1.11437,1.11497,1.11415
2020-01-07 19:00:00,1.11437,1.11447,1.11452,1.11419
2020-01-07 20:00:00,1.11449,1.11440,1.11479,1.11426
2020-01-07 21:00:00,1.11440,1.11543,1.11553,1.11439
2020-01-07 22:00:00,1.11543,1.11499,1.11545,1.11451
2020-01-07 23:00:00,1.11495,1.11543,1.11547,1.11470
2020-01-08 00:00:00,1.11541,1.11588,1.11685,1.11529
2020-01-08 01:00:00,1.11588,1.11560,1.11634,1.11550
2020-01-08 02:00:00,1.11559,1.11589,1.11615,1.11532
2020-01-08 03:00:00,1.11589,1.11549,1.11594,1.11538
2020-01-08 04:00:00,1.11549,1.11480,1.11560,1.11454
2020-01-08 05:00:00,1.11480,1.11494,1.11514,1.11476
2020-01-08 06:00:00,1.11493,1.11505,1.11541,1.11486
2020-01-08 07:00:00,1.11507,1.11514,1.11551,1.11434
2020-01-08 08:00:00,1.11515,1.11351,1.11534,1.11304
2020-01-08 09:00:00,1.11351,1.11386,1.11449,1.11255
2020-01-08 10:00:00,1.11386,1.11276,1.11388,1.11255
2020-01-08 11:00:00,1.11276,1.11274,1.11313,1.11199
2020-01-08 12:00:00,1.11275,1.11169,1.11308,1.11140
2020-01-08 13:00:00,1.11167,1.11201,1.11225,1.11115
2020-01-08 14:00:00,1.11201,1.11247,1.11271,1.11178
2020-01-08 15:00:00,1.11246,1.11200,1.11310,1.11155
2020-01-08 16:00:00,1.11200,1.11167,1.11204,1.11091
2020-01-08 17:00:00,1.11166,1.11182,1.11261,1.11133
2020-01-08 18:00:00,1.11181,1.11133,1.11181,1.11106
2020-01-08 19:00:00,1.11134,1.11114,1.11142,1.11084
2020-01-08 20:00:00,1.11114,1.11122,1.11150,1.11099
2020-01-08 21:00:00,1.11121,1.11060,1.11129,1.11018
2020-01-08 22:00:00,1.11059,1.11111,1.11164,1.11039
2020-01-08 23:00:00,1.11108,1.11132,1.11132,1.11075
2020-01-09 00:00:00,1.11132,1.11137,1.11161,1.11094
2020-01-09 01:00:00,1.11137,1.11176,1.11197,1.11113
2020-01-09 02:00:00,1.11174,1.11155,1.11192,1.11148
2020-01-09 03:00:00,1.11154,1.11156,1.11181,1.11143
2020-01-09 04:00:00,1.11155,1.11157,1.11161,1.11129
2020-01-09 05:00:00,1.11158,1.11185,1.11192,1.11153
2020-01-09 06:00:00,1.11186,1.11126,1.11192,1.11113
2020-01-09 07:00:00,1.11127,1.11154,1.11206,1.11114
2020-01-09 08:00:00,1.11155,1.11175,1.11179,1.11053
2020-01-09 09:00:00,1.11174,1.10997,1.11191,1.10986
2020-01-09 10:00:00,1.10997,1.11099,1.11119,1.10968
2020-01-09 11:00:00,1.11098,1.11048,1.11129,1.11036
2020-01-09 12:00:00,1.11048,1.11137,1.11169,1.11035
2020-01-09 13:00:00,1.11138,1.11151,1.11175,1.11060
2020-01-09 14:00:00,1.11151,1.11084,1.11151,1.11041
